Time_Index,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Load_MW_z1,CCGT_predicted_hours_of_gas_outage,maximum_demand
1,1,0,0,0,11162,66,23770
2,1,0,0,0,10556,,
3,1,0,0,0,10105,,
4,1,0,0,0,9878,,
5,1,0,0,0,9843,,
6,1,0,0,0,10017,,
7,1,0,0,0,10390,,
8,1,0,0,0,10727,,
9,1,0,0,0,11298,,
10,1,0,0,0,11859,,
11,1,0,0,0,12196,,
12,1,0,0,0,12321,,
13,1,0,0,0,12381,,
14,1,0,0,0,12270,,
15,1,0,0,0,12149,,
16,1,0,0,0,12219,,
17,1,0,0,0,13410,,
18,1,0,0,0,14539,,
19,1,0,0,0,14454,,
20,1,0,0,0,14012,,
21,1,0,0,0,13494,,
22,1,0,0,0,12772,,
23,1,0,0,0,11877,,
24,1,0,0,0,10874,,
25,1,0,0,0,10025,,
26,1,0,0,0,9511,,
27,1,0,0,0,9264,,
28,1,0,0,0,9208,,
29,1,0,0,0,9410,,
30,1,0,0,0,9924,,
31,1,0,0,0,10696,,
32,1,0,0,0,11329,,
33,1,0,0,0,12105,,
34,1,0,0,0,12899,,
35,1,0,0,0,13482,,
36,1,0,0,0,13721,,
37,1,0,0,0,13699,,
38,1,0,0,0,13611,,
39,1,0,0,0,13568,,
40,1,0,0,0,13774,,
41,1,0,0,0,15066,,
42,1,0,0,0,16374,,
43,1,0,0,0,16230,,
44,1,0,0,0,15838,,
45,1,0,0,0,15197,,
46,1,0,0,0,14189,,
47,1,0,0,0,12940,,
48,1,0,0,0,11808,,
49,1,0,0,0,11057,,
50,1,0,0,0,10682,,
51,1,0,0,0,10502,,
52,1,0,0,0,10524,,
53,1,0,0,0,10901,,
54,1,0,0,0,12021,,
55,1,0,0,0,14003,,
56,1,0,0,0,15113,,
57,1,0,0,0,15301,,
58,1,0,0,0,15406,,
59,1,0,0,0,15544,,
60,1,0,0,0,15570,,
61,1,0,0,0,15507,,
62,1,0,0,0,15485,,
63,1,0,0,0,15426,,
64,1,0,0,0,15639,,
65,1,0,0,0,16860,,
66,1,0,0,0,18195,,
67,1,0,0,0,18230,,
68,1,0,0,0,17924,,
69,1,0,0,0,17341,,
70,1,0,0,0,16318,,
71,1,0,0,0,14952,,
72,1,0,0,0,13756,,
73,1,0,0,0,13012,,
74,1,0,0,0,12621,,
75,1,0,0,0,12422,,
76,1,0,0,0,12444,,
77,1,0,0,0,12784,,
